Frequency (Hz),Vout (VPP),Gain (dB)
116.01553017399715,0.216,0.20342591706476393
134.59603241553643,0.212,0.041068112621174886
156.15230060004964,0.214,0.12262636102996372
210.17480113324893,0.216,0.20342591706476393
243.8354098268829,0.212,0.041068112621174886
282.88694346259695,0.21,-0.041263211275468364
328.1927872511474,0.212,0.041068112621174886
380.7546021222372,0.21,-0.041263211275468364
441.7344703140069,0.208,-0.1243824066986226
512.4805876960936,0.204,-0.29304575743587824
594.5570708544394,0.2,-0.4650491926742283
689.7785379387658,0.196,-0.6405276788243319
800.2502278161052,0.19,-0.9105770868972733
928.4145445194745,0.184,-1.1892926457631239
1077.1050560367692,0.176,-1.5753957496708573
1249.6091412919868,0.168,-1.979463471436595
1449.7406703726315,0.16,-2.403249452835357
1681.9243248808689,0.158,-2.5125073668654
1951.2934226359623,0.138,-3.688067377929122
2263.8034095214466,0.126,-4.4782382036025945
2626.3635276533328,0.116,-5.196489321415484
3046.989570903508,0.104,-6.144982319978246
3534.981105030106,0.088,-7.595995662950481
4101.1270705513,0.08,-8.42384936611498
4757.944314009409,0.072,-9.338999177328486
5519.954321281573,0.064,-10.362049626276109
6404.004271197283,0.056,-11.521888565829846
7429.63950759495,0.05,-12.506249019233476
8619.535664753032,0.044,-13.616595576230106
10000.0,0.04,-14.444449279394604
